centreID,name,type,address,tel,capacity
1,Menara Medical Clinic,vaccination center,"Lot LS 05, Level 1, Passenger Terminal, Building Penang Airport, 11900 Bayan Lepas, Pulau Pinang",09-7867606,792
2,"Dewan Seri Melati, Perlis",vaccination center,"Jalan Bukit Keteri, 02400 Kangar, Perlis",09-3622069,587
3,Cendrawasih Hall Pendang District Council,vaccination center,"Pendang, 06700 Pendang, Kedah",06-1796545,854
4,"Dewan Bandaran Kampar, Majlis Daerah Kampar",vaccination center,"Kampung Baharin Pinji, 31900 Kampar, Perak",04-1413653,567
5,APMM,vaccination center,"Unnamed Road, 16800 Pasir Puteh, Kelantan",04-0247635,727
6,Dewan Sivik Bukit Payong,vaccination center,"Kampung Wakaf Kedondong, 21400 Kuala Terengganu, Terengganu",09-4276679,997
7,SMK Karak Setia,vaccination center,"Jalan Pandan 2, 28600 Karak, Pahang",09-5487555,530
8,Dewan Dato' Bahaman Kuala Pilah,vaccination center,"Taman Pilah Jaya, 72000 Kuala Pilah, Negeri Sembilan",09-5126486,667
9,Dewan Tun Ali,vaccination center,"75450 Bukit Katil, Malacca",05-1065047,790
10,Che Ann Khor,vaccination center,"Lot HS 2677, Pt 2446, Jalan Kota Impian 1, 83700 Yong Peng, Johor",09-6587367,845
11,Dewan Hakka Sandakan,vaccination center,"Jalan Tyng, 90000 Sandakan, Sabah",09-4386241,583
12,Stadium Perpaduan,vaccination center,"Jln Stadium (Ring), Petra Jaya, 93050 Kuching, Sarawak",06-7652969,747
13,Space U8,vaccination center,"1-22-1, 1st floor Space u8 mall, no 6, Persiaran Pasak Bumi, 40150 Shah Alam, Selangor",06-8095527,844
14,Kuala Lumpur Convention Centre,vaccination center,"Jalan Pinang, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",03-7313372,773
