C19149,Klinik Nur,clinic,"214, Jalan Rugayah, 83000, Batu Pahat, Johor, Malaysia",06-7253520,48
C34341,Klinik APM Bandar Tenggara,clinic," No. 99-7, Jalan Anggerik 4/1, Taman Anggerik, 81440,  Bandar Tenggara, Johor, Malaysia",05-8531311,29
C38573, Klinik C. S. Ooi,clinic," No. 55, Seberang Jalan Putra, 05150,  Alor Setar, Kedah, Malaysia",09-6206032,28
C21883,Klinik Balkhis,clinic,"1120-J, Jalan Padang Garong, 15000, Kota Bharu, Kelantan, Malaysia",09-9619892,38
C80674, Klinik Ihsan dan Siti Sdn Bhd,clinic,"411, Lot 8667 AG, Kompleks Perniagaan, 78000, Alor Gajah Melaka, Malaysia",06-0640871,27
C73062,Polyklinik Liew,clinic," 11A, Lorong 1, Taman ACBE, 72100, Bahau, Negeri Sembilan, Malaysia",04-3461968,38
C38789,Klinik Fadzilah,clinic,"No. 17 & 18, Kedai LKWJ, Nadi Kota, 26400, Bandar Pusat Jengka, Pahang ",09-6161799,30
C34151,Poliklinik Pan-Medic,clinic,"51-A, Lintang Angsana, Bandar Baru Ayer Itam, 11500, Air Itam, Penang, Malaysia",09-4425924,30
C89400,Klinik Redza,clinic,"No. 32, Persiaran SIBC 2 Seri Iskandar, Business Centre Bandar Seri Iskandar, 32610, Bandar Seri Iskandar, Perak, Malaysia",06-3044758,36
C97873,Klinik Remedic,clinic,"Kangar No. 277 & 279 (Ground Floor),Jalan Baru Kangar,Alor-Star Taman Pengkalan Asam, 01000, Kangar, Perlis, Malaysia",09-7191726,46
C55995,Klinik Kota Belud,clinic,"Ground Floor, Blok A No. 2, Rangoon Shopping Centre, 89158, Kota Belud, Sabah, Malaysia",05-3005283,28
C16057,Klinik Haji Roslan,clinic," No. 59, Ground Floor Medan Sepadu, Jalan Abang Galau Peti Surat 301 97008 Bintulu, Sarawak, Malaysia",09-9541501,23
C30323,Klinik Antarabangsa,clinic,"No. 18, Jalan Wangsa 2 Bukit Antarabangsa, 68000, Ampang, Selangor, Malaysia",03-9355723,50
C90794,"Hospital Enche' Besar Hajjah Kalsom, Kluang",hospital,"KM 5, Jln Kota Tinggi, Kluang, Johor",06-6666367,1930
C33463,Hospital Kulim,hospital,"Jalan Mahang, Kulim, Kulim, Kedah",05-6503008,1379
C00960,Hospital Gua Musang,hospital,"Bandar Baru, Gua Musang, Kelantan",09-1115352,819
C65811,Hospital Jasin,hospital,"77000 Jasin, Jasin, Melaka",06-0495586,2173
C96657,Hospital Jempol,hospital,"Bandar Seri Jempol, Bandar Seri Jempol, Negeri Sembilan",06-4640146,1702
C57533,Hospital Kuala Lipis,hospital,"27200 K.Lipis, Kuala Lipis, Pahang",06-0263625,1563
C73148,Hospital Bahagia Ulu Kinta,hospital,"Tanjong Rambutan, Ulu Kinta, Perak",09-0708650,1088
C77741,Hospital Bukit Mertajam,hospital,"Jalan Kulim, Bukit Mertajam, Bukit Mertajam, Pulau Pinang",03-0399197,1268
C63521,Hospital Kudat,hospital,"Peti Surat 22, Kudat, Sabah",09-5286481,1618
C75072,Hospital Bau,hospital,"Batu 1 Â½, Jalan Bau-Lundu, Bau, Sarawak",09-3503012,2314
C44256,Hospital Ampang,hospital,"Jalan Mewah Utara, Ampang, Selangor",09-1567278,1182
C28348,Hospital Kemaman,hospital,"Jalan Da' Omar, Cukai, Kemaman, Terengganu",09-5169650,1918
C94724,Hospital Kuala Lumpur,hospital,"Jalan Pahang, Kuala Lumpur, WP Kuala Lumpur",09-9781136,1319
C94075,Menara Medical Clinic,vaccination center,"Lot LS 05, Level 1, Passenger Terminal, Building Penang Airport, 11900 Bayan Lepas, Pulau Pinang",09-7867606,792
C95781,"Dewan Seri Melati, Perlis",vaccination center,"Jalan Bukit Keteri, 02400 Kangar, Perlis",09-3622069,587
C08426,Cendrawasih Hall Pendang District Council,vaccination center,"Pendang, 06700 Pendang, Kedah",06-1796545,854
C62299,"Dewan Bandaran Kampar, Majlis Daerah Kampar",vaccination center,"Kampung Baharin Pinji, 31900 Kampar, Perak",04-1413653,567
C34648,APMM,vaccination center,"Unnamed Road, 16800 Pasir Puteh, Kelantan",04-0247635,727
C32447,Dewan Sivik Bukit Payong,vaccination center,"Kampung Wakaf Kedondong, 21400 Kuala Terengganu, Terengganu",09-4276679,997
C43228,SMK Karak Setia,vaccination center,"Jalan Pandan 2, 28600 Karak, Pahang",09-5487555,530
C80123,Dewan Dato' Bahaman Kuala Pilah,vaccination center,"Taman Pilah Jaya, 72000 Kuala Pilah, Negeri Sembilan",09-5126486,667
C27022,Dewan Tun Ali,vaccination center,"75450 Bukit Katil, Malacca",05-1065047,790
C17418,Che Ann Khor,vaccination center,"Lot HS 2677, Pt 2446, Jalan Kota Impian 1, 83700 Yong Peng, Johor",09-6587367,845
C37581,Dewan Hakka Sandakan,vaccination center,"Jalan Tyng, 90000 Sandakan, Sabah",09-4386241,583
C33733,Stadium Perpaduan,vaccination center,"Jln Stadium (Ring), Petra Jaya, 93050 Kuching, Sarawak",06-7652969,747
C09157,Space U8,vaccination center,"1-22-1, 1st floor Space u8 mall, no 6, Persiaran Pasak Bumi, 40150 Shah Alam, Selangor",06-8095527,844
C07739,Kuala Lumpur Convention Centre,vaccination center,"Jalan Pinang, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",03-7313372,773
